[main] 12:24:55,928 INFO  [com.qmetry.qaf.automation.core.ConfigurationManager] ISFW build info: {qaf-Type=core, qaf-Revision=0, qaf-Version=3.0, qaf-Build-Time=26-Jul-2020 22:16:34}
[main] 12:24:55,945 INFO  [com.qmetry.qaf.automation.core.ConfigurationManager] Resource dir: /Users/spenn02/IdeaProjects/Archive/src/main/resources/common. Found property files to load: 7
[main] 12:24:56,020 INFO  [com.qmetry.qaf.automation.core.ConfigurationManager] Resource dir: /Users/spenn02/IdeaProjects/Archive/src/main/resources/common. Found property files to load: 0
[main] 12:24:56,028 INFO  [com.qmetry.qaf.automation.step.client.gherkin.GherkinScenarioFactory] scenario.file.loc[Ljava.lang.String;@693fe6c9
[main] 12:24:56,084 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/WebSearch.feature
[main] 12:24:56,110 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/Cafe24.feature
[main] 12:24:56,119 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/WinnDixie.feature
[main] 12:24:56,134 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/AudioCalls.feature
[main] 12:24:56,142 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/ExpenseTracker.feature
[main] 12:24:56,150 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/BectonDickson.feature
[main] 12:24:56,158 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/Arbeit.feature
[main] 12:24:56,170 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/Calculator.feature
[main] 12:24:56,176 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/Vystar.feature
[main] 12:24:56,184 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/Maps.feature
[main] 12:24:56,193 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/MultiDevice.feature
[main] 12:24:56,198 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/VirtualDevices.feature
[main] 12:24:56,206 INFO  [com.qmetry.qaf.automation.step.client.gherkin.GherkinScenarioFactory] total test found: 1
[main] 12:24:56,258 INFO  [com.qmetry.qaf.automation.step.client.gherkin.GherkinScenarioFactory] scenario.file.loc[Ljava.lang.String;@45efd90f
[main] 12:24:56,260 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/WebSearch.feature
[main] 12:24:56,261 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/Cafe24.feature
[main] 12:24:56,263 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/WinnDixie.feature
[main] 12:24:56,271 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/AudioCalls.feature
[main] 12:24:56,274 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/ExpenseTracker.feature
[main] 12:24:56,276 INFO  [com.qmetry.qaf.automation.step.client.text.BehaviorScanner] loading feature file: /Users/spenn02/IdeaProjects/Archive/src/main/resources/scenarios/BectonDickson.feature
